"id","created_at","name","has_test","alternate_url"
"37072712","2020-05-20T11:03:06+0300","Data scientist",false,"https://hh.ru/vacancy/37072712"
"36357367","2020-05-24T17:16:43+0300","Data Scientist",false,"https://hh.ru/vacancy/36357367"
"37037611","2020-05-25T12:48:05+0300","Data Scientist",false,"https://hh.ru/vacancy/37037611"
"37003152","2020-05-26T14:08:32+0300","Data Scientist",false,"https://hh.ru/vacancy/37003152"
"36912049","2020-05-27T12:12:25+0300","Senior",false,"https://hh.ru/vacancy/36912049"
"37188013","2020-05-27T12:49:24+0300","Middle/Senior",false,"https://hh.ru/vacancy/37188013"
"36023475","2020-05-27T17:14:43+0300","Data Scientist",false,"https://hh.ru/vacancy/36023475"
"37008731","2020-05-27T18:10:25+0300","Senior(anti-fraud)",false,"https://hh.ru/vacancy/37008731"
"37008803","2020-05-27T18:18:19+0300","Специалист Computer Vision",false,"https://hh.ru/vacancy/37008803"
"37200010","2020-05-27T20:42:25+0300","Руководитель направления",false,"https://hh.ru/vacancy/37200010"
"37045181","2020-05-28T10:46:55+0300","Data Scientist",false,"https://hh.ru/vacancy/37045181"
"37054908","2020-05-28T14:58:53+0300","Data Scientist",false,"https://hh.ru/vacancy/37054908"
"36877389","2020-05-28T15:05:27+0300","Data scientist",false,"https://hh.ru/vacancy/36877389"
"36954719","2020-05-28T17:20:31+0300","(Computer Vision)",false,"https://hh.ru/vacancy/36954719"
"37243747","2020-05-29T14:15:41+0300","Data Engineer / Python",false,"https://hh.ru/vacancy/37243747"
"37247506","2020-05-29T16:25:11+0300","Data scientist",false,"https://hh.ru/vacancy/37247506"
"37172711","2020-05-29T16:38:51+0300","Аналитик - эконометрист /(Junior/Middle)",false,"https://hh.ru/vacancy/37172711"
"36519811","2020-05-29T20:17:07+0300","Data Scientist",false,"https://hh.ru/vacancy/36519811"
"36991107","2020-05-29T20:33:43+0300","Middle/Senior(fraud prevention)",true,"https://hh.ru/vacancy/36991107"
"36916080","2020-05-30T11:42:41+0300","Python",false,"https://hh.ru/vacancy/36916080"
